book_num,series_chapter_num,book_chapter_num,book_title,chapter_title,chapter_start_date
1,1,1,Harry Potter and the Philosopher's Stone,The Boy Who Lived,"November 1, 1981"
1,2,2,Harry Potter and the Philosopher's Stone,The Vanishing Glass,"June 23, 1991"
1,3,3,Harry Potter and the Philosopher's Stone,The Letters from No One,"July 23, 1991"
1,4,4,Harry Potter and the Philosopher's Stone,The Keeper of Keys,"July 31, 1991"
1,5,5,Harry Potter and the Philosopher's Stone,Diagon Alley,"July 31, 1991"
1,6,6,Harry Potter and the Philosopher's Stone,The Journey from Platform Nine and Three-Quarters,"August 1, 1991"
1,7,7,Harry Potter and the Philosopher's Stone,The Sorting Hat,"September 1, 1991"
1,8,8,Harry Potter and the Philosopher's Stone,The Potions Master,"September 2, 1991"
1,9,9,Harry Potter and the Philosopher's Stone,The Midnight Duel,"September 12, 1991"
1,10,10,Harry Potter and the Philosopher's Stone,Hallowe'en,"September 13, 1991"
1,11,11,Harry Potter and the Philosopher's Stone,Quidditch,"November 8, 1991"
1,12,12,Harry Potter and the Philosopher's Stone,The Mirror of Erised,"December 21, 1991"
1,13,13,Harry Potter and the Philosopher's Stone,Nicholas Flamel,"January 5, 1992"
1,14,14,Harry Potter and the Philosopher's Stone,Norbert the Norwegian Ridgeback,"March 23, 1992"
1,15,15,Harry Potter and the Philosopher's Stone,The Forbidden Forest,"May 10, 1992"
1,16,16,Harry Potter and the Philosopher's Stone,Through the Trapdoor,"June 4, 1992"
1,17,17,Harry Potter and the Philosopher's Stone,The Man with Two Faces,"June 4, 1992"
2,18,1,Harry Potter and the Chamber of Secrets,The Worst Birthday,"July 31, 1992"
2,19,2,Harry Potter and the Chamber of Secrets,Dobby’s Warning,"July 31, 1992"
2,20,3,Harry Potter and the Chamber of Secrets,The Burrow,"August 3, 1992"
2,21,4,Harry Potter and the Chamber of Secrets,At Flourish and Blotts,"August 12, 1992"
2,22,5,Harry Potter and the Chamber of Secrets,The Whomping Willow,"August 31, 1992"
2,23,6,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,"September 2, 1992"
2,24,7,Harry Potter and the Chamber of Secrets,Mudbloods and Murmurs,"September 5, 1992"
2,25,8,Harry Potter and the Chamber of Secrets,The Deathday Party,"October 24, 1992"
2,26,9,Harry Potter and the Chamber of Secrets,The Writing on the Wall,"October 31, 1992"
2,27,10,Harry Potter and the Chamber of Secrets,The Rogue Bludger,"November 5, 1992"
2,28,11,Harry Potter and the Chamber of Secrets,The Duelling Club,"November 8, 1992"
2,29,12,Harry Potter and the Chamber of Secrets,The Polyjuice Potion,"December 18, 1992"
2,30,13,Harry Potter and the Chamber of Secrets,The Very Secret Diary,"January 31, 1993"
2,31,14,Harry Potter and the Chamber of Secrets,Cornelius Fudge,"February 15, 1993"
2,32,15,Harry Potter and the Chamber of Secrets,Aragog,"May 24, 1993"
2,33,16,Harry Potter and the Chamber of Secrets,The Chamber of Secrets,"May 25, 1993"
2,34,17,Harry Potter and the Chamber of Secrets,The Heir of Slytherin,"May 29, 1993"
2,35,18,Harry Potter and the Chamber of Secrets,Dobby’s Reward,"May 30, 1993"
3,36,1,Harry Potter and the Prisoner of Azkaban,Owl Post,"July 30, 1993"
3,37,2,Harry Potter and the Prisoner of Azkaban,Aunt Marge’s Big Mistake,"July 31, 1993"
3,38,3,Harry Potter and the Prisoner of Azkaban,The Knight Bus,"August 6, 1993"
3,39,4,Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,"August 16, 1993"
3,40,5,Harry Potter and the Prisoner of Azkaban,The Dementor,"September 1, 1993"
3,41,6,Harry Potter and the Prisoner of Azkaban,Talons and Tea Leaves,"September 2, 1993"
3,42,7,Harry Potter and the Prisoner of Azkaban,The Boggart in the Wardrobe,"September 9, 1993"
3,43,8,Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,"October 7, 1993"
3,44,9,Harry Potter and the Prisoner of Azkaban,Grim Defeat,"October 31, 1993"
3,45,10,Harry Potter and the Prisoner of Azkaban,The Marauder's Map,"November 7, 1993"
3,46,11,Harry Potter and the Prisoner of Azkaban,The Firebolt,"December 18, 1993"
3,47,12,Harry Potter and the Prisoner of Azkaban,The Patronus,"January 2, 1994"
3,48,13,Harry Potter and the Prisoner of Azkaban,Gryffindor versus Ravenclaw,"February 4, 1994"
3,49,14,Harry Potter and the Prisoner of Azkaban,Snape's Grudge,"February 5, 1994"
3,50,15,Harry Potter and the Prisoner of Azkaban,The Quidditch Final,"February 12, 1994"
3,51,16,Harry Potter and the Prisoner of Azkaban,Professor Trelawney's Prediction,"June 5, 1994"
3,52,17,Harry Potter and the Prisoner of Azkaban,"Cat, Rat, and Dog","June 9, 1994"
3,53,18,Harry Potter and the Prisoner of Azkaban,"Moony, Wormtail, Padfoot and Prongs","June 9, 1994"
3,54,19,Harry Potter and the Prisoner of Azkaban,The Servant of Lord Voldemort,"June 9, 1994"
3,55,20,Harry Potter and the Prisoner of Azkaban,The Dementor’s Kiss,"June 9, 1994"
3,56,21,Harry Potter and the Prisoner of Azkaban,Hermione’s Secret,"June 9, 1994"
3,57,22,Harry Potter and the Prisoner of Azkaban,Owl Post Again,"June 9, 1994"
4,58,1,Harry Potter and the Goblet of Fire,The Riddle House,"August 23, 1994"
4,59,2,Harry Potter and the Goblet of Fire,The Scar,"August 23, 1994"
4,60,3,Harry Potter and the Goblet of Fire,The Invitation,"August 23, 1994"
4,61,4,Harry Potter and the Goblet of Fire,Back to the Burrow,"August 24, 1994"
4,62,5,Harry Potter and the Goblet of Fire,Weasley’s Wizard Wheezes,"August 24, 1994"
4,63,6,Harry Potter and the Goblet of Fire,The Portkey,"August 25, 1994"
4,64,7,Harry Potter and the Goblet of Fire,Bagman and Crouch,"August 25, 1994"
4,65,8,Harry Potter and the Goblet of Fire,The Quidditch World Cup,"August 25, 1994"
4,66,9,Harry Potter and the Goblet of Fire,The Dark Mark,"August 25, 1994"
4,67,10,Harry Potter and the Goblet of Fire,Mayhem at the Ministry,"August 26, 1994"
4,68,11,Harry Potter and the Goblet of Fire,Aboard the Hogwarts Express,"September 1, 1994"
4,69,12,Harry Potter and the Goblet of Fire,The Triwizard Tournament,"September 1, 1994"
4,70,13,Harry Potter and the Goblet of Fire,Mad-Eye Moody,"September 2, 1994"
4,71,14,Harry Potter and the Goblet of Fire,The Unforgivable Curses,"September 4, 1994"
4,72,15,Harry Potter and the Goblet of Fire,Beauxbatons and Durmstrang,"October 23, 1994"
4,73,16,Harry Potter and the Goblet of Fire,The Goblet of Fire,"October 30, 1994"
4,74,17,Harry Potter and the Goblet of Fire,The Four Champions,"October 31, 1994"
4,75,18,Harry Potter and the Goblet of Fire,The Weighing of the Wands,"November 1, 1994"
4,76,19,Harry Potter and the Goblet of Fire,The Hungarian Horntail,"November 13, 1994"
4,77,20,Harry Potter and the Goblet of Fire,The First Task,"November 23, 1994"
4,78,21,Harry Potter and the Goblet of Fire,The House-Elf Liberation Front,"November 24, 1994"
4,79,22,Harry Potter and the Goblet of Fire,The Unexpected Task,"December 8, 1994"
4,80,23,Harry Potter and the Goblet of Fire,The Yule Ball,"December 19, 1994"
4,81,24,Harry Potter and the Goblet of Fire,Rita Skeeter’s Scoop,"December 26, 1994"
4,82,25,Harry Potter and the Goblet of Fire,The Egg and the Eye,"January 16, 1995"
4,83,26,Harry Potter and the Goblet of Fire,The Second Task,"February 23, 1995"
4,84,27,Harry Potter and the Goblet of Fire,Padfoot Returns,"February 25, 1995"
4,85,28,Harry Potter and the Goblet of Fire,The Madness of Mr Crouch,"February 26, 1995"
4,86,29,Harry Potter and the Goblet of Fire,The Dream,"May 24, 1995"
4,87,30,Harry Potter and the Goblet of Fire,The Pensieve,"May 26, 1995"
4,88,31,Harry Potter and the Goblet of Fire,The Third Task,"May 26, 1995"
4,89,32,Harry Potter and the Goblet of Fire,"Flesh, Blood, and Bone","June 24, 1995"
4,90,33,Harry Potter and the Goblet of Fire,The Death Eaters,"June 24, 1995"
4,91,34,Harry Potter and the Goblet of Fire,Priori Incantatem,"June 24, 1995"
4,92,35,Harry Potter and the Goblet of Fire,Veritaserum,"June 25, 1995"
4,93,36,Harry Potter and the Goblet of Fire,The Parting of the Ways,"June 25, 1995"
4,94,37,Harry Potter and the Goblet of Fire,The Beginning,"June 26, 1995"
5,95,1,Harry Potter and the Order of the Phoenix,Dudley Demented,"July 31, 1995"
5,96,2,Harry Potter and the Order of the Phoenix,A Peck of Owls,"August 2, 1995"
5,97,3,Harry Potter and the Order of the Phoenix,The Advance Guard,"August 2, 1995"
5,98,4,Harry Potter and the Order of the Phoenix,"Number Twelve, Grimmauld Place","August 6, 1995"
5,99,5,Harry Potter and the Order of the Phoenix,The Order of the Phoenix,"August 6, 1995"
5,100,6,Harry Potter and the Order of the Phoenix,The Noble and Most Ancient House of Black,"August 6, 1995"
5,101,7,Harry Potter and the Order of the Phoenix,The Ministry of Magic,"August 8, 1995"
5,102,8,Harry Potter and the Order of the Phoenix,The Hearing,"August 12, 1995"
5,103,9,Harry Potter and the Order of the Phoenix,The Woes of Mrs Weasley,"August 12, 1995"
5,104,10,Harry Potter and the Order of the Phoenix,Luna Lovegood,"September 1, 1995"
5,105,11,Harry Potter and the Order of the Phoenix,The Sorting Hat's New Song,"September 1, 1995"
5,106,12,Harry Potter and the Order of the Phoenix,Professor Umbridge,"September 2, 1995"
5,107,13,Harry Potter and the Order of the Phoenix,Detention with Dolores,"September 2, 1995"
5,108,14,Harry Potter and the Order of the Phoenix,Percy and Padfoot,"September 8, 1995"
5,109,15,Harry Potter and the Order of the Phoenix,The Hogwarts High Inquisitor,"September 9, 1995"
5,110,16,Harry Potter and the Order of the Phoenix,In the Hog's Head,"September 26, 1995"
5,111,17,Harry Potter and the Order of the Phoenix,Educational Decree Number Twenty-four,"October 5, 1995"
5,112,18,Harry Potter and the Order of the Phoenix,Dumbledore's Army,"October 8, 1995"
5,113,19,Harry Potter and the Order of the Phoenix,The Lion and the Serpent,"November 6, 1995"
5,114,20,Harry Potter and the Order of the Phoenix,Hagrid’s Tale,"November 7, 1995"
5,115,21,Harry Potter and the Order of the Phoenix,The Eye of the Snake,"November 12, 1995"
5,116,22,Harry Potter and the Order of the Phoenix,St Mungo's Hospital for Magical Maladies and Injuries,"December 18, 1995"
5,117,23,Harry Potter and the Order of the Phoenix,Christmas on the Closed Ward,"December 19, 1995"
5,118,24,Harry Potter and the Order of the Phoenix,Occlumency,"December 26, 1995"
5,119,25,Harry Potter and the Order of the Phoenix,The Beetle at Bay,"January 9, 1996"
5,120,26,Harry Potter and the Order of the Phoenix,Seen and Unforeseen,"February 14, 1996"
5,121,27,Harry Potter and the Order of the Phoenix,The Centaur and the Sneak,"March 10, 1996"
5,122,28,Harry Potter and the Order of the Phoenix,Snape’s Worst Memory,"March 31, 1996"
5,123,29,Harry Potter and the Order of the Phoenix,Career Advice,"April 1, 1996"
5,124,30,Harry Potter and the Order of the Phoenix,Grawp,"April 28, 1996"
5,125,31,Harry Potter and the Order of the Phoenix,O.W.L.S,"May 31, 1996"
5,126,32,Harry Potter and the Order of the Phoenix,Out of the Fire,"June 18, 1996"
5,127,33,Harry Potter and the Order of the Phoenix,Fight and Flight,"June 18, 1996"
5,128,34,Harry Potter and the Order of the Phoenix,The Department of Mysteries,"June 18, 1996"
5,129,35,Harry Potter and the Order of the Phoenix,Beyond the Veil,"June 18, 1996"
5,130,36,Harry Potter and the Order of the Phoenix,The Only One He Ever Feared,"June 18, 1996"
5,131,37,Harry Potter and the Order of the Phoenix,The Lost Prophecy,"June 19, 1996"
5,132,38,Harry Potter and the Order of the Phoenix,The Second War Begins,"June 21, 1996"
6,133,1,Harry Potter and the Half-Blood Prince,The Other Minister,"July 12, 1996"
6,134,2,Harry Potter and the Half-Blood Prince,Spinner’s End,"July 12, 1996"
6,135,3,Harry Potter and the Half-Blood Prince,Will and Won’t,"July 12, 1996"
6,136,4,Harry Potter and the Half-Blood Prince,Horace Slughorn,"July 12, 1996"
6,137,5,Harry Potter and the Half-Blood Prince,An Excess of Phlegm,"July 13, 1996"
6,138,6,Harry Potter and the Half-Blood Prince,Draco’s Detour,"July 14, 1996"
6,139,7,Harry Potter and the Half-Blood Prince,The Slug Club,"August 4, 1996"
6,140,8,Harry Potter and the Half-Blood Prince,Snape Victorious,"September 1, 1996"
6,141,9,Harry Potter and the Half-Blood Prince,The Half-Blood Prince,"September 2, 1996"
6,142,10,Harry Potter and the Half-Blood Prince,The House of Gaunt,"September 3, 1996"
6,143,11,Harry Potter and the Half-Blood Prince,Hermione’s Helping Hand,"September 8, 1996"
6,144,12,Harry Potter and the Half-Blood Prince,Silver and Opals,"October 12, 1996"
6,145,13,Harry Potter and the Half-Blood Prince,The Secret Riddle,"October 14, 1996"
6,146,14,Harry Potter and the Half-Blood Prince,Felix Felicis,"October 15, 1996"
6,147,15,Harry Potter and the Half-Blood Prince,The Unbreakable Vow,"November 19, 1996"
6,148,16,Harry Potter and the Half-Blood Prince,A Very Frosty Christmas,"December 21, 1996"
6,149,17,Harry Potter and the Half-Blood Prince,A Sluggish Memory,"January 3, 1997"
6,150,18,Harry Potter and the Half-Blood Prince,Birthday Surprises,"January 7, 1997"
6,151,19,Harry Potter and the Half-Blood Prince,Elf Tails,"March 2, 1997"
6,152,20,Harry Potter and the Half-Blood Prince,Lord Voldemort’s Request,"March 10, 1997"
6,153,21,Harry Potter and the Half-Blood Prince,The Unknowable Room,"March 16, 1997"
6,154,22,Harry Potter and the Half-Blood Prince,After the Burial,"April 21, 1997"
6,155,23,Harry Potter and the Half-Blood Prince,Horcruxes,"April 21, 1997"
6,156,24,Harry Potter and the Half-Blood Prince,Sectumsempra,"April 21, 1997"
6,157,25,Harry Potter and the Half-Blood Prince,The Seer Overheard,"June 2, 1997"
6,158,26,Harry Potter and the Half-Blood Prince,The Cave,"June 4, 1997"
6,159,27,Harry Potter and the Half-Blood Prince,The Lightning Struck Tower,"June 4, 1997"
6,160,28,Harry Potter and the Half-Blood Prince,Flight of the Prince,"June 4, 1997"
6,161,29,Harry Potter and the Half-Blood Prince,The Phoenix Lament,"June 4, 1997"
6,162,30,Harry Potter and the Half-Blood Prince,The White Tomb,"June 6, 1997"
7,163,1,Harry Potter and the Deathly Hallows,The Dark Lord Ascending,"July 19, 1997"
7,164,2,Harry Potter and the Deathly Hallows,In Memoriam,"July 27, 1997"
7,165,3,Harry Potter and the Deathly Hallows,The Dursleys Departing,"July 27, 1997"
7,166,4,Harry Potter and the Deathly Hallows,The Seven Potters,"July 27, 1997"
7,167,5,Harry Potter and the Deathly Hallows,Fallen Warrior,"July 27, 1997"
7,168,6,Harry Potter and the Deathly Hallows,The Ghoul in Pyjamas,"July 29, 1997"
7,169,7,Harry Potter and the Deathly Hallows,The Will of Albus Dumbledore,"July 31, 1997"
7,170,8,Harry Potter and the Deathly Hallows,The Wedding,"August 1, 1997"
7,171,9,Harry Potter and the Deathly Hallows,A Place to Hide,"August 1, 1997"
7,172,10,Harry Potter and the Deathly Hallows,Kreacher’s Tale,"August 2, 1997"
7,173,11,Harry Potter and the Deathly Hallows,The Bribe,"August 4, 1997"
7,174,12,Harry Potter and the Deathly Hallows,Magic is Might,"September 1, 1997"
7,175,13,Harry Potter and the Deathly Hallows,The Muggle-Born Registration Commission,"September 2, 1997"
7,176,14,Harry Potter and the Deathly Hallows,The Thief,"September 2, 1997"
7,177,15,Harry Potter and the Deathly Hallows,The Goblin’s Revenge,"September 3, 1997"
7,178,16,Harry Potter and the Deathly Hallows,Godric’s Hollow,"October 13, 1997"
7,179,17,Harry Potter and the Deathly Hallows,Bathilda’s Secret,"December 24, 1997"
7,180,18,Harry Potter and the Deathly Hallows,The Life and Lies of Albus Dumbledore,"December 25, 1997"
7,181,19,Harry Potter and the Deathly Hallows,The Silver Doe,"December 26, 1997"
7,182,20,Harry Potter and the Deathly Hallows,Xenophilius Lovegood,"December 27, 1997"
7,183,21,Harry Potter and the Deathly Hallows,The Tale of the Three Brothers,"December 28, 1997"
7,184,22,Harry Potter and the Deathly Hallows,The Deathly Hallows,"December 28, 1997"
7,185,23,Harry Potter and the Deathly Hallows,Malfoy Manor,"March 23, 1998"
7,186,24,Harry Potter and the Deathly Hallows,The Wandmaker,"March 24, 1998"
7,187,25,Harry Potter and the Deathly Hallows,Shell Cottage,"March 24, 1998"
7,188,26,Harry Potter and the Deathly Hallows,Gringotts,"March 27, 1998"
